,F,T,Date,Year,Month,Day,IntervalDays
0,,pharrington12,"May 17, 2015",2015,5,17,3058
1,Hyncharas,CarlGus0,"Jul 7, 2016",2016,7,7,3475
2,Hyncharas,TLMutz,"Jul 7, 2016",2016,7,7,3475
3,Hyncharas,pradzr2015,"Jul 7, 2016",2016,7,7,3475
4,Hyncharas,krr,"Mar 25, 2017",2017,3,25,3736
5,Hyncharas,Sterben,"Mar 17, 2017",2017,3,17,3728
6,Hyncharas,evildave,"Mar 17, 2017",2017,3,17,3728
7,Hyncharas,Felidire,"Mar 25, 2017",2017,3,25,3736
8,Hyncharas,ewagnerjr2000,"Jul 9, 2016",2016,7,9,3477
9,Hyncharas,Sapphire Wolf,"Dec 16, 2013",2013,12,16,2541
10,Hyncharas,veejdeej,"Dec 16, 2013",2013,12,16,2541
11,Hyncharas,DumbDumb,"Dec 16, 2013",2013,12,16,2541
12,Hyncharas,LANMANTA,"Dec 16, 2013",2013,12,16,2541
13,Hyncharas,RockSt&#9734;r-Rick K,"Aug 7, 2015",2015,8,7,3140
14,Hyncharas,v_p_venkatesh,"Aug 7, 2015",2015,8,7,3140
15,Hyncharas,sainath,"Sep 5, 2015",2015,9,5,3169
16,Hyncharas,ryao,"Sep 5, 2015",2015,9,5,3169
17,ideaforremotesupport,itsdrew,"May 6, 2007",2007,5,6,125
18,ideaforremotesupport,rockettech,"May 6, 2007",2007,5,6,125
19,sugarbear,Hyncharas,"Mar 7, 2017",2017,3,7,3718
20,sugarbear,acestode,"Mar 19, 2017",2017,3,19,3730
21,sugarbear,Felidire,"Mar 19, 2017",2017,3,19,3730
22,sugarbear,Hyncharas,"Mar 25, 2017",2017,3,25,3736
23,sugarbear,BobC1,"Jun 16, 2017",2017,6,16,3819
24,sugarbear,HDERAZI96,"Jul 14, 2017",2017,7,14,3847
25,sugarbear,CruZR848,"Jul 26, 2017",2017,7,26,3859
26,sugarbear,mfstocke,"Aug 11, 2017",2017,8,11,3875
27,sugarbear,SeanBrothers,"Aug 18, 2017",2017,8,18,3882
28,sugarbear,cmolstad,"Aug 21, 2017",2017,8,21,3885
29,sugarbear,LANMANTA,"Oct 26, 2017",2017,10,26,3951
30,sugarbear,LANMANTA,"Oct 26, 2017",2017,10,26,3951
31,sugarbear,LANMANTA,"Nov 2, 2017",2017,11,2,3958
32,sugarbear,Svar,"Nov 13, 2017",2017,11,13,3969
33,sugarbear,ByteME,"Jan 24, 2018",2018,1,24,4041
34,sugarbear,Hyncharas,"Jan 24, 2018",2018,1,24,4041
35,sugarbear,johnnytech1969,"Sep 11, 2017",2017,9,11,3906
36,sugarbear,cmolstad,"Sep 29, 2017",2017,9,29,3924
37,sugarbear,LANMANTA,"Oct 14, 2017",2017,10,14,3939
38,sugarbear,LANMANTA,"Oct 14, 2017",2017,10,14,3939
39,jervis961,Egyas,"Feb 23, 2011",2011,2,23,1514
40,jervis961,vkpai,"Feb 23, 2011",2011,2,23,1514
41,jervis961,Jdean1021,"Feb 24, 2011",2011,2,24,1515
42,jervis961,idiot101,"Feb 24, 2011",2011,2,24,1515
43,jervis961,PepterParker666,"Feb 24, 2011",2011,2,24,1515
44,jervis961,revereve,"Dec 7, 2015",2015,12,7,3262
45,jervis961,worldwidejoey,"May 30, 2015",2015,5,30,3071
46,jervis961,veejdeej,"May 30, 2015",2015,5,30,3071
47,jervis961,Snikerdoodlz,"Jun 13, 2015",2015,6,13,3085
48,jervis961,StigtriX,"Aug 10, 2015",2015,8,10,3143
49,jervis961,RockSt&#9734;r-Rick K,"Aug 10, 2015",2015,8,10,3143
50,jervis961,tomabc,"Aug 22, 2015",2015,8,22,3155
51,jervis961,MaBr22,"Aug 15, 2015",2015,8,15,3148
52,jervis961,LANMANTA,"Aug 29, 2015",2015,8,29,3162
53,jervis961,ryao,"Aug 29, 2015",2015,8,29,3162
54,jervis961,gcartelli,"Oct 3, 2015",2015,10,3,3197
55,jervis961,RJ30309,"Oct 3, 2015",2015,10,3,3197
56,jervis961,Hessjet2010,"Oct 3, 2015",2015,10,3,3197
57,Edward_Wagner@Dell.com,ewagnerjr2000,"Apr 19, 2007",2007,4,19,108
